Track,Artist,Album,Year,Duration,Danceability,Loudness,Acousticness,Instrumentalness,Tempo,Popularity
Clandestino,Manu Chao,Clandestino,1998,149173,0.68,-6.417,469,0,85.04,67
Desaparecido,Manu Chao,Clandestino,1998,227160,591,-6.903,669,0,191.944,62
La Primavera,Manu Chao,Próxima Estación: Esperanza,1999,112533,564,-8.26,709,829,175.791,55
La Vida Tombola,Manu Chao,La Radiolina,2001,196066,638,-8.321,0.13,139,93.971,54
Me Gustas Tu,Manu Chao,Próxima Estación: Esperanza,1998,239986,657,-6.822,663,494,175.949,81
Mentira,Manu Chao,Clandestino,2003,277013,604,-8.3,474,89,75.942,58
Peligro - Live,Manu Chao,Radio Bemba Sound System (Live),2002,189440,543,-4.896,609,224,92.655,40
Dawning of the Day,Mary Fahl,Love & Gravity,1997,235036,0.26,-13.3,876,0,79.199,28
Going Home,Mary Fahl,The Other Side of Time,1997,288733,211,-7.456,773,19,92.541,27
Fani - Tevhid,Mercan Dede,"Dünya, Vol. 1 (Gün Doğumu)",2000,467400,729,-13.509,107,33,129.981,20
Halitus,Mercan Dede,Nefes,2000,238906,615,-15.982,739,849,120.018,29
Hidrelez - Dream of Perhan,Mercan Dede,Sufi Dreams,2000,937853,788,-20.904,776,677,75.628,18
Mevlana Jalaluddin Rumi - Dream of Shams,Mercan Dede,Sufi Dreams,2000,556226,681,-16.19,531,956,88,21
Napas,Mercan Dede,Nefes,2000,263360,653,-11.76,381,403,99.001,33
Nar-1 Ney,Mercan Dede,Sufi Traveler,2000,578432,598,-10.138,394,335,114.696,7
Nar-ı Aşk,Mercan Dede,Secret Tribe - Nar,2000,535600,671,-11.975,829,859,120.824,17
Neyname,Mercan Dede,Seyahatname,2000,716013,233,-14.971,746,459,108.797,4
Bossa 31,Nicola Conte,Garota Moderna,2004,345756,667,-10.059,264,833,96.008,37
Bossa Per Due,Nicola Conte,Jet Sounds,2004,352182,643,-9.66,559,866,90.499,37
Like Leaves in the Wind,Nicola Conte,Rituals,2004,290493,651,-7.804,613,444,111.993,33
Sea and Sand,Nicola Conte,Other Directions (Remastered and Unreleased Tracks),2004,239226,666,-11.696,892,374,119.918,38
Tribes from the Unknown,Nicola Conte,Let Your Light Shine On,2004,126442,679,-11.847,0.34,878,200.076,2
Ave Maria,Noa,Noa,2003,262133,319,-17.028,875,144,94.677,25
Beautiful That Way,Noa,Beautiful That Way,2001,157521,573,-12.046,665,621,131.187,35
